Date,Value
2023-01-04,127.37000274658203
2023-01-05,126.94000244140625
2023-01-06,130.02000427246094
2023-01-09,129.47000122070312
2023-01-10,132.99000549316406
2023-01-11,132.88999938964844
2023-01-12,136.7100067138672
2023-01-13,136.97999572753906
2023-01-17,135.36000061035156
2023-01-18,133.02000427246094
2023-01-19,136.14999389648438
2023-01-20,139.3699951171875
2023-01-23,143.27000427246094
2023-01-24,143.13999938964844
2023-01-25,141.5
2023-01-26,147.3000030517578
2023-01-27,151.74000549316406
2023-01-30,147.05999755859375
2023-01-31,148.97000122070312
2023-02-01,153.1199951171875
2023-02-02,188.77000427246094
2023-02-03,186.52999877929688
2023-02-06,186.05999755859375
2023-02-07,191.6199951171875
2023-02-08,183.42999267578125
2023-02-09,177.9199981689453
2023-02-10,174.14999389648438
2023-02-13,179.42999267578125
2023-02-14,179.47999572753906
2023-02-15,177.16000366210938
2023-02-16,172.44000244140625
2023-02-17,172.8800048828125
2023-02-21,172.0800018310547
2023-02-22,171.1199951171875
2023-02-23,172.0399932861328
2023-02-24,170.38999938964844
2023-02-27,169.5399932861328
2023-02-28,174.94000244140625
2023-03-01,173.4199981689453
2023-03-02,174.52999877929688
2023-03-03,185.25
2023-03-06,184.89999389648438
2023-03-07,184.50999450683594
2023-03-08,184.97000122070312
2023-03-09,181.69000244140625
2023-03-10,179.50999450683594
2023-03-13,180.89999389648438
2023-03-14,194.02000427246094
2023-03-15,197.75
2023-03-16,204.92999267578125
2023-03-17,195.61000061035156
2023-03-20,197.80999755859375
2023-03-21,202.16000366210938
2023-03-22,199.80999755859375
2023-03-23,204.27999877929688
2023-03-24,206.00999450683594
2023-03-27,202.83999633789062
2023-03-28,200.67999267578125
2023-03-29,205.35000610351562
2023-03-30,207.83999633789062
2023-03-31,211.94000244140625
2023-04-03,213.07000732421875
2023-04-04,214.72000122070312
2023-04-05,211.47999572753906
2023-04-06,216.10000610351562
2023-04-10,214.75
2023-04-11,213.85000610351562
2023-04-12,214.0
2023-04-13,220.35000610351562
2023-04-14,221.49000549316406
2023-04-17,218.86000061035156
2023-04-18,217.88999938964844
2023-04-19,215.6999969482422
